mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_decisiontree__criterion;param_decisiontree__max_depth;param_decisiontree__min_samples_leaf;param_decisiontree__min_samples_split;param_decisiontree__random_state;param_decisiontree__splitter;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.17250096797943115;0.043754105694813965;0.009699678421020508;0.002191698242769073;gini;9;1;2;1;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'best'};0.6122448979591837;0.5408163265306123;0.6122448979591837;0.6122448979591837;0.5102040816326531;0.6391752577319587;0.5670103092783505;0.5360824742268041;0.5979381443298969;0.5670103092783505;0.5794971596886176;0.03951354664728976;121
0.12589795589447023;0.018187854582163022;0.010300779342651367;0.0021483027662066636;gini;9;1;2;1;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'random'};0.5102040816326531;0.4897959183673469;0.5204081632653061;0.5714285714285714;0.46938775510204084;0.6701030927835051;0.5670103092783505;0.5670103092783505;0.4639175257731959;0.5360824742268041;0.5365348201136124;0.05816844024452101;280
0.15369935035705568;0.013453846701811177;0.009501838684082031;0.0015009907802369775;gini;9;1;2;;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': None, 'decisiontree__splitter': 'best'};0.5510204081632653;0.5102040816326531;0.673469387755102;0.6224489795918368;0.5102040816326531;0.5979381443298969;0.5876288659793815;0.5670103092783505;0.5670103092783505;0.5051546391752577;0.5692089206816746;0.05126011544746074;158
0.10209839344024658;0.00902954576112713;0.008600258827209472;0.0010206868142561803;gini;9;1;2;;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': None, 'decisiontree__splitter': 'random'};0.6428571428571429;0.6632653061224489;0.5;0.5714285714285714;0.5408163265306123;0.5979381443298969;0.5360824742268041;0.4845360824742268;0.6082474226804123;0.5670103092783505;0.5712181779928466;0.05518359528249588;153
0.11350007057189941;0.004610028160991204;0.007600188255310059;0.001496578813314345;gini;9;1;3;1;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'best'};0.6530612244897959;0.5306122448979592;0.6632653061224489;0.6122448979591837;0.46938775510204084;0.5876288659793815;0.6494845360824743;0.4948453608247423;0.4742268041237113;0.5051546391752577;0.5639911634756996;0.07372217285555621;179
0.0877981185913086;0.01270239433710086;0.006700396537780762;0.0014181494638175352;gini;9;1;3;1;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'random'};0.6122448979591837;0.6326530612244898;0.47959183673469385;0.6020408163265306;0.5102040816326531;0.5670103092783505;0.5567010309278351;0.5360824742268041;0.44329896907216493;0.5360824742268041;0.5475909951609511;0.05657203675952279;245
0.092799973487854;0.007743840041454308;0.006799936294555664;0.0017200447372741896;gini;9;1;3;;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': None, 'decisiontree__splitter': 'best'};0.6326530612244898;0.6020408163265306;0.45918367346938777;0.5612244897959183;0.47959183673469385;0.5876288659793815;0.5567010309278351;0.6391752577319587;0.5670103092783505;0.5670103092783505;0.5652219650746896;0.055267856735981086;171
0.08920059204101563;0.012081756242332185;0.008601760864257813;0.0009169184787387217;gini;9;1;3;;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': None, 'decisiontree__splitter': 'random'};0.5816326530612245;0.6122448979591837;0.6836734693877551;0.5510204081632653;0.5408163265306123;0.5257731958762887;0.5567010309278351;0.5463917525773195;0.6288659793814433;0.5360824742268041;0.5763202188091731;0.047916481423236956;134
0.1236994981765747;0.007913103896721242;0.008800292015075683;0.0018344187054468444;gini;9;1;4;1;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 4, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'best'};0.5816326530612245;0.47959183673469385;0.6122448979591837;0.6326530612244898;0.46938775510204084;0.5670103092783505;0.5567010309278351;0.6082474226804123;0.5670103092783505;0.5051546391752577;0.5579633915421838;0.053437385527512066;204
0.09720046520233154;0.007728835419747432;0.008499979972839355;0.0019103296565561544;gini;9;1;4;1;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 4, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'random'};0.5102040816326531;0.673469387755102;0.5102040816326531;0.6224489795918368;0.4897959183673469;0.6185567010309279;0.5567010309278351;0.5773195876288659;0.4639175257731959;0.5257731958762887;0.5548390490216706;0.06367083903312193;214
