mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_randomforest__criterion;param_randomforest__max_depth;param_randomforest__max_features;param_randomforest__min_samples_leaf;param_randomforest__min_samples_split;param_randomforest__random_state;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.6168008089065552;0.11174412512431886;0.042399144172668456;0.006231722323571448;gini;9;8;1;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.6938775510204082;0.673469387755102;0.6836734693877551;0.6326530612244898;0.5918367346938775;0.7010309278350515;0.6701030927835051;0.6494845360824743;0.6185567010309279;0.6597938144329897;0.6574479276246581;0.03291242186790753;159
0.5451994657516479;0.029899362757611268;0.043201446533203125;0.005036219805410708;gini;9;8;1;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.673469387755102;0.6428571428571429;0.7040816326530612;0.673469387755102;0.6122448979591837;0.6907216494845361;0.6804123711340206;0.6082474226804123;0.5876288659793815;0.6701030927835051;0.6543235851041447;0.03733191267054283;193
0.5611013889312744;0.05061376654029398;0.04249958992004395;0.005220651998745052;gini;9;8;1;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.6836734693877551;0.7040816326530612;0.6530612244897959;0.6938775510204082;0.5714285714285714;0.6597938144329897;0.6701030927835051;0.6494845360824743;0.5876288659793815;0.6701030927835051;0.6543235851041447;0.0409566638757626;193
0.5537004709243775;0.03758455818161072;0.040299725532531736;0.0034371425655728787;gini;9;8;1;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.6836734693877551;0.6632653061224489;0.6938775510204082;0.6428571428571429;0.5204081632653061;0.7010309278350515;0.6804123711340206;0.6185567010309279;0.5979381443298969;0.6701030927835051;0.6472122869766463;0.05256879455260782;269
0.5317000865936279;0.036205834641557307;0.04690091609954834;0.01098552777985857;gini;9;8;1;11;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 11, 'randomforest__random_state': 1};0.6428571428571429;0.6428571428571429;0.6632653061224489;0.6428571428571429;0.5714285714285714;0.6701030927835051;0.7010309278350515;0.6494845360824743;0.6082474226804123;0.7010309278350515;0.6493162213338943;0.03722070979022038;235
0.5515406131744385;0.02431290355795746;0.044799637794494626;0.005153188550398638;gini;9;8;1;11;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 11, 'randomforest__random_state': None};0.6938775510204082;0.673469387755102;0.6428571428571429;0.6836734693877551;0.5714285714285714;0.711340206185567;0.7010309278350515;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.6657058699768567;0.041741145650163514;83
0.5420005083084106;0.04336641244599828;0.045600080490112306;0.007186505253213511;gini;9;8;2;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.6632653061224489;0.6632653061224489;0.6632653061224489;0.6326530612244898;0.5714285714285714;0.6494845360824743;0.711340206185567;0.6701030927835051;0.5979381443298969;0.6907216494845361;0.6513465179886387;0.039395266333942205;217
0.5253003120422364;0.032924674733414025;0.04410021305084229;0.006609523400795241;gini;9;8;2;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.7346938775510204;0.6428571428571429;0.6836734693877551;0.6224489795918368;0.5714285714285714;0.7010309278350515;0.6494845360824743;0.6288659793814433;0.6082474226804123;0.6804123711340206;0.6523143277929728;0.04577794335969573;210
0.5388000726699829;0.0382286091109345;0.04210021495819092;0.003476811505355931;gini;9;8;2;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.7040816326530612;0.6428571428571429;0.7040816326530612;0.6326530612244898;0.5204081632653061;0.7010309278350515;0.6907216494845361;0.6597938144329897;0.6288659793814433;0.6701030927835051;0.6554597096570587;0.05282674590330821;171
0.542501163482666;0.03359839325498961;0.04389908313751221;0.0075553635214411306;gini;9;8;2;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.6632653061224489;0.6224489795918368;0.673469387755102;0.6326530612244898;0.5306122448979592;0.6907216494845361;0.6701030927835051;0.6494845360824743;0.6701030927835051;0.6494845360824743;0.6452345886808333;0.04275529552955606;280
