mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_svc__C;param_svc__gamma;param_svc__kernel;param_svc__random_state;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.6777997016906738;0.05891909110688328;0.03440060615539551;0.004522332566934993;1;1;rbf;1;{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7040816326530612;0.7448979591836735;0.6632653061224489;0.673469387755102;0.5510204081632653;0.6701030927835051;0.6597938144329897;0.6391752577319587;0.6082474226804123;0.6494845360824743;0.6563538817588891;0.049407731402619164;14
0.7012120485305786;0.045603095867186916;0.03180031776428223;0.00222737306143003;1;1;rbf;;{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7244897959183674;0.7448979591836735;0.6530612244897959;0.673469387755102;0.5510204081632653;0.6701030927835051;0.6597938144329897;0.6494845360824743;0.6082474226804123;0.6494845360824743;0.658405217757206;0.051428475200425;13
0.7360004425048828;0.04962522417270027;0.04099957942962647;0.010545240561150162;1;0.1;rbf;1;{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.6326530612244898;0.6530612244897959;0.6428571428571429;0.6428571428571429;0.5816326530612245;0.7216494845360825;0.6391752577319587;0.6082474226804123;0.6391752577319587;0.6288659793814433;0.6390174626551651;0.033820384864285354;15
0.709499716758728;0.05928798289981259;0.03819952011108398;0.00598039004823253;1;0.1;rbf;;{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.6530612244897959;0.6530612244897959;0.6326530612244898;0.6632653061224489;0.5714285714285714;0.7010309278350515;0.6597938144329897;0.5876288659793815;0.6288659793814433;0.6082474226804123;0.6359036398064379;0.03669084327056535;16
0.719999885559082;0.045192022514415627;0.030000138282775878;0.004196471583964233;10;1;rbf;1;{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7346938775510204;0.7551020408163265;0.7040816326530612;0.7244897959183674;0.6020408163265306;0.7216494845360825;0.711340206185567;0.6494845360824743;0.6082474226804123;0.7010309278350515;0.6912160740584894;0.05024882963433108;3
0.7211006164550782;0.050766777948059685;0.030100536346435548;0.002624732718356637;10;1;rbf;;{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7448979591836735;0.7346938775510204;0.7040816326530612;0.7142857142857143;0.6122448979591837;0.7319587628865979;0.711340206185567;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.6932884494003788;0.044823337642818956;1
0.7300999879837036;0.06673283785869431;0.030200958251953125;0.0036818945847079173;10;0.1;rbf;1;{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7448979591836735;0.6938775510204082;0.6428571428571429;0.6836734693877551;0.6428571428571429;0.7525773195876289;0.7319587628865979;0.6494845360824743;0.6082474226804123;0.7010309278350515;0.6851462234378287;0.04626151704987661;8
0.7203993320465087;0.055437190038342535;0.03020007610321045;0.004190218830565384;10;0.1;rbf;;{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7142857142857143;0.6836734693877551;0.6632653061224489;0.7040816326530612;0.6326530612244898;0.7525773195876289;0.7422680412371134;0.6494845360824743;0.6185567010309279;0.6907216494845361;0.6851567431096149;0.042415792790266874;7
0.6956996917724609;0.04306930634736907;0.029399633407592773;0.0041761538377262574;100;1;rbf;1;{'svc__C': 100, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7551020408163265;0.7448979591836735;0.6938775510204082;0.7244897959183674;0.6122448979591837;0.711340206185567;0.711340206185567;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.6932674100568061;0.04630851763666596;2
0.7095996856689453;0.040816154360789114;0.029700660705566408;0.0024524462047706597;100;1;rbf;;{'svc__C': 100, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7244897959183674;0.7551020408163265;0.6938775510204082;0.7346938775510204;0.6122448979591837;0.7319587628865979;0.711340206185567;0.6391752577319587;0.6082474226804123;0.6907216494845361;0.6901851462234379;0.04996900461440347;4
0.693701195716858;0.07629469334131715;0.027799272537231447;0.003156638974065534;100;0.1;rbf;1;{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.6836734693877551;0.6530612244897959;0.6326530612244898;0.6836734693877551;0.6020408163265306;0.7525773195876289;0.6804123711340206;0.6701030927835051;0.5567010309278351;0.711340206185567;0.6626236061434884;0.05253864588614331;9
0.7085999488830567;0.10802216132039685;0.027700161933898924;0.0021930601726907473;100;0.1;rbf;;{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.6836734693877551;0.6632653061224489;0.6326530612244898;0.6836734693877551;0.6020408163265306;0.7422680412371134;0.6804123711340206;0.6701030927835051;0.5463917525773195;0.7010309278350515;0.6605512308015989;0.052069905816943915;12
