mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_randomforest__criterion;param_randomforest__max_depth;param_randomforest__max_features;param_randomforest__min_samples_leaf;param_randomforest__min_samples_split;param_randomforest__random_state;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.5311005353927613;0.07725176694860422;0.05210111141204834;0.013744758746977472;gini;9;8;1;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.5;0.5612244897959183;0.6122448979591837;0.5102040816326531;0.41836734693877553;0.5463917525773195;0.5670103092783505;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5241216074058489;0.05050452792708146;111
0.5218985080718994;0.06870737436893898;0.04880070686340332;0.00842383830170786;gini;9;8;1;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5204081632653061;0.41836734693877553;0.5463917525773195;0.5360824742268041;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.5199978960656427;0.04761021339969047;204
0.5281001567840576;0.041358570911443605;0.04780192375183105;0.011304837360081362;gini;9;8;1;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.41836734693877553;0.5463917525773195;0.5670103092783505;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5231011992425836;0.04984333725154526;139
0.556700325012207;0.06661183005758022;0.046600723266601564;0.011288887154561271;gini;9;8;1;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.5;0.5612244897959183;0.6122448979591837;0.5204081632653061;0.41836734693877553;0.5463917525773195;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5154639175257731;0.521018304228908;0.047926008351170356;189
0.5188002109527587;0.032238002261414406;0.05010013580322266;0.01441065785227329;gini;9;8;1;11;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 11, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.41836734693877553;0.5463917525773195;0.5463917525773195;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5210393435724805;0.04838957545399063;174
0.5131007671356201;0.04904505125175009;0.04629991054534912;0.009487654985462411;gini;9;8;1;11;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 11, 'randomforest__random_state': None};0.5;0.5612244897959183;0.6122448979591837;0.5102040816326531;0.41836734693877553;0.5463917525773195;0.5463917525773195;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5220597517357458;0.04911321567661825;155
0.539201021194458;0.05938583096351866;0.046999788284301756;0.012602085667827117;gini;9;8;2;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5463917525773195;0.5360824742268041;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5189880075741636;0.05015620761378445;208
0.5290004014968872;0.05262484855000521;0.04349973201751709;0.005677894571141895;gini;9;8;2;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5360824742268041;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.5169261519040605;0.04940547811126255;234
0.5163999319076538;0.0498094201933523;0.0449007511138916;0.00667072801166735;gini;9;8;2;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5463917525773195;0.5360824742268041;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5189880075741636;0.05015620761378445;208
0.5082995176315308;0.05110263757522931;0.04970021247863769;0.010918467815143593;gini;9;8;2;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
