mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_svc__C;param_svc__gamma;param_svc__kernel;param_svc__random_state;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.30330026149749756;0.03508854454960185;0.024799609184265138;0.0015361783270700072;1;1;rbf;1;{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.6836734693877551;0.7551020408163265;0.6632653061224489;0.6632653061224489;0.5102040816326531;0.711340206185567;0.6597938144329897;0.6082474226804123;0.5876288659793815;0.6494845360824743;0.6492005049442457;0.06446784202768824;13
0.29059979915618894;0.015047461952756898;0.026699256896972657;0.004360452158976597;1;1;rbf;;{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.6836734693877551;0.7551020408163265;0.6632653061224489;0.6632653061224489;0.5102040816326531;0.711340206185567;0.6597938144329897;0.6082474226804123;0.5876288659793815;0.6494845360824743;0.6492005049442457;0.06446784202768824;13
0.2799011468887329;0.026128388757900602;0.02709808349609375;0.006833091529349114;1;0.1;rbf;1;{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.5;0.6020408163265306;0.6122448979591837;0.5306122448979592;0.4387755102040816;0.5876288659793815;0.5979381443298969;0.5257731958762887;0.5360824742268041;0.5154639175257731;0.54465600673259;0.052183557961076044;15
0.27180068492889403;0.019239631512457275;0.02519996166229248;0.0022714728627965877;1;0.1;rbf;;{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.5;0.6020408163265306;0.6122448979591837;0.5306122448979592;0.4387755102040816;0.5876288659793815;0.5979381443298969;0.5257731958762887;0.5360824742268041;0.5154639175257731;0.54465600673259;0.052183557961076044;15
0.3111999988555908;0.019676517425593995;0.02830023765563965;0.006085468575616948;10;1;rbf;1;{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7346938775510204;0.7448979591836735;0.7040816326530612;0.7244897959183674;0.6122448979591837;0.7319587628865979;0.711340206185567;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.694308857563644;0.045402139308732554;1
0.32669992446899415;0.0284952224058169;0.024599409103393553;0.0026535933448242188;10;1;rbf;;{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7346938775510204;0.7448979591836735;0.7040816326530612;0.7244897959183674;0.6122448979591837;0.7319587628865979;0.711340206185567;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.694308857563644;0.045402139308732554;1
0.3172996282577515;0.027817281982279427;0.02469949722290039;0.0024093812471227215;10;0.1;rbf;1;{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7448979591836735;0.673469387755102;0.6428571428571429;0.6836734693877551;0.6122448979591837;0.7628865979381443;0.7319587628865979;0.6701030927835051;0.6288659793814433;0.7010309278350515;0.68519882179676;0.04763695467757413;7
0.3339983463287354;0.032543185500386665;0.02850165367126465;0.012314509317020671;10;0.1;rbf;;{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7448979591836735;0.673469387755102;0.6428571428571429;0.6836734693877551;0.6122448979591837;0.7628865979381443;0.7319587628865979;0.6701030927835051;0.6288659793814433;0.7010309278350515;0.68519882179676;0.04763695467757413;7
0.32049946784973143;0.02632197861081315;0.0251007080078125;0.0027002763010501077;100;1;rbf;1;{'svc__C': 100, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.7346938775510204;0.7448979591836735;0.7040816326530612;0.7244897959183674;0.6122448979591837;0.7319587628865979;0.711340206185567;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.694308857563644;0.045402139308732554;1
0.3286000967025757;0.024088274658818357;0.031899023056030276;0.011944916456728003;100;1;rbf;;{'svc__C': 100, 'svc__gamma': 1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.7346938775510204;0.7448979591836735;0.7040816326530612;0.7244897959183674;0.6122448979591837;0.7319587628865979;0.711340206185567;0.6597938144329897;0.6185567010309279;0.7010309278350515;0.694308857563644;0.045402139308732554;1
0.3410008192062378;0.02657991752300097;0.02679917812347412;0.004285745880501193;100;0.1;rbf;1;{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': 1};0.673469387755102;0.6428571428571429;0.6224489795918368;0.6836734693877551;0.6020408163265306;0.7422680412371134;0.6804123711340206;0.6701030927835051;0.5567010309278351;0.711340206185567;0.6585314538186409;0.05135832620708858;9
0.35369985103607177;0.035369916107387746;0.024300551414489745;0.0038476881414049972;100;0.1;rbf;;{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf', 'svc__random_state': None};0.673469387755102;0.6428571428571429;0.6224489795918368;0.6836734693877551;0.6020408163265306;0.7422680412371134;0.6804123711340206;0.6701030927835051;0.5567010309278351;0.711340206185567;0.6585314538186409;0.05135832620708858;9
