mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_decisiontree__criterion;param_decisiontree__max_depth;param_decisiontree__min_samples_leaf;param_decisiontree__min_samples_split;param_decisiontree__random_state;param_decisiontree__splitter;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.15630064010620118;0.027634080049988068;0.00879981517791748;0.0008721220710678079;gini;9;1;2;1;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'best'};0.6938775510204082;0.5408163265306123;0.6836734693877551;0.5816326530612245;0.4897959183673469;0.6185567010309279;0.5154639175257731;0.5051546391752577;0.4536082474226804;0.5257731958762887;0.5608352619398275;0.07738668475612948;203
0.09789986610412597;0.015273765356130262;0.00790104866027832;0.0017024979806651022;gini;9;1;2;1;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'random'};0.5306122448979592;0.6836734693877551;0.42857142857142855;0.6020408163265306;0.5102040816326531;0.6288659793814433;0.6185567010309279;0.4845360824742268;0.5876288659793815;0.5257731958762887;0.5600462865558594;0.07313024027244114;206
0.11229972839355469;0.008318663534350408;0.008100104331970216;0.0007000559092884507;gini;9;1;2;;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': None, 'decisiontree__splitter': 'best'};0.5714285714285714;0.47959183673469385;0.6938775510204082;0.6326530612244898;0.4387755102040816;0.5670103092783505;0.5876288659793815;0.5876288659793815;0.5463917525773195;0.5463917525773195;0.5651378077003997;0.06795246786272928;188
0.0858999490737915;0.005804623076828354;0.006999826431274414;0.0014831657524816877;gini;9;1;2;;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 2, 'decisiontree__random_state': None, 'decisiontree__splitter': 'random'};0.6122448979591837;0.5918367346938775;0.6122448979591837;0.6020408163265306;0.4489795918367347;0.5979381443298969;0.5979381443298969;0.6082474226804123;0.6082474226804123;0.5154639175257731;0.5795181990321902;0.051257870182231165;125
0.1100008487701416;0.008932477419941041;0.008899784088134766;0.0016399858039001967;gini;9;1;3;1;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'best'};0.6530612244897959;0.4387755102040816;0.5204081632653061;0.5918367346938775;0.5102040816326531;0.5773195876288659;0.5773195876288659;0.5154639175257731;0.5773195876288659;0.5257731958762887;0.5487481590574373;0.0558616997516832;255
0.08989849090576171;0.010839286708509047;0.007399916648864746;0.001496419374360021;gini;9;1;3;1;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'random'};0.5816326530612245;0.5204081632653061;0.6326530612244898;0.6020408163265306;0.5204081632653061;0.6597938144329897;0.5463917525773195;0.4845360824742268;0.44329896907216493;0.5773195876288659;0.5568483063328424;0.0634881531815883;226
0.10269973278045655;0.008186199177690106;0.006797957420349121;0.0014688577805052456;gini;9;1;3;;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': None, 'decisiontree__splitter': 'best'};0.6224489795918368;0.5510204081632653;0.6530612244897959;0.5612244897959183;0.45918367346938777;0.6288659793814433;0.5567010309278351;0.5154639175257731;0.6288659793814433;0.5154639175257731;0.5692299600252472;0.05951240525171119;161
0.07819938659667969;0.0060971701995505;0.00780181884765625;0.0009795573822356763;gini;9;1;3;;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 3, 'decisiontree__random_state': None, 'decisiontree__splitter': 'random'};0.5510204081632653;0.4489795918367347;0.6632653061224489;0.5816326530612245;0.4897959183673469;0.6391752577319587;0.6288659793814433;0.5154639175257731;0.5567010309278351;0.5257731958762887;0.5600673258994319;0.06530198426398715;205
0.10889949798583984;0.00656580514899744;0.0072002410888671875;0.0015368569203863263;gini;9;1;4;1;best;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 4, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'best'};0.6530612244897959;0.5306122448979592;0.45918367346938777;0.6224489795918368;0.46938775510204084;0.6185567010309279;0.5670103092783505;0.6185567010309279;0.5670103092783505;0.5670103092783505;0.5672838207447928;0.06186524441031223;171
0.08409967422485351;0.010616831069505811;0.0070015907287597655;0.0020013350419739403;gini;9;1;4;1;random;{'decisiontree__criterion': 'gini', 'decisiontree__max_depth': 9, 'decisiontree__min_samples_leaf': 1, 'decisiontree__min_samples_split': 4, 'decisiontree__random_state': 1, 'decisiontree__splitter': 'random'};0.5306122448979592;0.6224489795918368;0.6224489795918368;0.5714285714285714;0.45918367346938777;0.5876288659793815;0.6185567010309279;0.5567010309278351;0.5670103092783505;0.5154639175257731;0.565148327372186;0.04992856215932345;187
